订单号,日期,用户ID,渠道,类目,SKU,数量,单价,实付金额,是否退款
SO202501151,2025-11-19,10829,直播,家居,家居-007,1,199,194.8,否
SO202501660,2025-11-19,11811,社群,女装,女装-032,1,309,302.2,否
SO202502101,2025-11-19,10321,直播,家居,家居-014,2,59,102.28,否
SO202504331,2025-11-19,11130,搜索,美妆,美妆-016,3,279,747.87,否
SO202500444,2025-11-19,10803,搜索,家居,家居-002,3,129,380.83,否
SO202502700,2025-11-19,11099,推荐,女装,女装-014,2,259,476.84,否
SO202502672,2025-11-19,10759,直播,美妆,美妆-003,1,119,112.85,否
SO202502145,2025-11-19,10677,搜索,美妆,美妆-001,2,129,239.82,否
SO202502879,2025-11-20,11990,搜索,女装,女装-001,1,169,151.97,否
SO202503951,2025-11-20,11625,直播,美妆,美妆-001,3,129,382.57,否
SO202500499,2025-11-20,10216,直播,美妆,美妆-007,1,159,135.64,否
SO202500760,2025-11-20,10524,直播,美妆,美妆-018,1,489,465.73,否
SO202503229,2025-11-20,10267,推荐,数码,数码-003,1,1699,1591.84,是
SO202500393,2025-11-20,11594,搜索,男装,男装-006,1,199,185.17,否
SO202504416,2025-11-20,11092,直播,家居,家居-014,2,59,106.38,是
SO202502408,2025-11-20,11455,直播,美妆,美妆-007,3,159,473.41,否
SO202502914,2025-11-20,10886,推荐,女装,女装-021,1,269,229.69,否
SO202500564,2025-11-20,11100,搜索,美妆,美妆-003,2,119,222.45,否
SO202503183,2025-11-20,11584,直播,美妆,美妆-014,3,239,653.48,否
SO202502617,2025-11-20,11882,直播,男装,男装-014,3,149,387.12,否
SO202502767,2025-11-20,11259,推荐,男装,男装-006,1,199,187.82,否
SO202501480,2025-11-20,11850,推荐,家居,家居-014,1,59,54.1,否
SO202503579,2025-11-20,10029,搜索,美妆,美妆-007,1,159,152.28,否
SO202502391,2025-11-21,11018,搜索,女装,女装-014,2,259,464.57,否
SO202503077,2025-11-21,10262,搜索,男装,男装-005,1,269,246.1,否
SO202504551,2025-11-21,11724,直播,女装,女装-022,1,269,268.34,否
SO202502744,2025-11-21,10675,推荐,美妆,美妆-001,1,129,126.88,否
SO202501416,2025-11-21,10440,搜索,美妆,美妆-001,2,129,241.7,否
SO202504343,2025-11-21,10100,搜索,家居,家居-006,2,109,210.17,否
SO202500173,2025-11-21,11499,搜索,女装,女装-021,2,269,533.04,否
SO202502277,2025-11-21,11330,社群,美妆,美妆-015,3,199,521.79,是
SO202504964,2025-11-21,10703,直播,女装,女装-014,2,259,506.77,否
SO202502126,2025-11-22,11130,推荐,家居,家居-014,1,59,51.88,否
SO202501044,2025-11-22,10747,直播,女装,女装-032,2,309,594.85,否
SO202502544,2025-11-22,11330,社群,家居,家居-011,3,119,347.59,否
SO202504334,2025-11-22,10054,推荐,女装,女装-035,1,289,281.3,否
SO202504870,2025-11-22,11024,社群,美妆,美妆-016,2,279,487.2,否
SO202501434,2025-11-22,11562,推荐,美妆,美妆-003,2,119,236.55,否
SO202501645,2025-11-22,10926,直播,美妆,美妆-015,1,199,189.01,否
SO202504519,2025-11-22,10007,推荐,男装,男装-020,1,299,292.09,否
SO202501271,2025-11-22,10248,推荐,女装,女装-021,1,269,245.95,否
SO202502843,2025-11-22,11662,社群,男装,男装-006,2,199,377.58,是
SO202502639,2025-11-22,10871,社群,家居,家居-001,2,39,75.38,否
SO202501623,2025-11-22,10682,直播,女装,女装-032,1,309,284.93,否
SO202501302,2025-11-22,10007,搜索,美妆,美妆-005,2,369,700.89,否
SO202502396,2025-11-22,10071,搜索,美妆,美妆-003,3,119,324.52,否
SO202503610,2025-11-22,11635,直播,美妆,美妆-014,2,239,427.93,否
SO202500512,2025-11-22,10150,推荐,男装,男装-015,2,149,287.29,否
SO202500505,2025-11-22,11452,直播,女装,女装-021,1,269,251.38,否
SO202504446,2025-11-22,11545,直播,数码,数码-008,1,1259,1126.86,否
SO202503038,2025-11-23,10635,直播,美妆,美妆-017,2,359,654.74,否
SO202501582,2025-11-23,10150,直播,女装,女装-003,2,189,348.87,否
SO202503518,2025-11-23,11679,搜索,美妆,美妆-001,3,129,350.5,否
SO202504620,2025-11-23,11390,推荐,美妆,美妆-015,2,199,369.76,是
SO202504678,2025-11-23,10473,直播,女装,女装-005,1,269,233.04,否
SO202503064,2025-11-23,10546,搜索,男装,男装-020,1,299,283.98,否
SO202502944,2025-11-23,10590,搜索,女装,女装-024,1,299,266.14,否
SO202502584,2025-11-23,11363,搜索,女装,女装-014,1,259,239.92,否
SO202501333,2025-11-24,11448,搜索,男装,男装-018,3,159,464.27,否
SO202502446,2025-11-24,10112,搜索,女装,女装-022,1,269,248.22,否
SO202503654,2025-11-24,10238,搜索,男装,男装-025,2,169,327.61,否
SO202503925,2025-11-24,11962,直播,美妆,美妆-003,1,119,102.79,否
SO202501595,2025-11-24,11662,直播,美妆,美妆-001,1,129,121.38,否
SO202503708,2025-11-24,10747,搜索,美妆,美妆-015,1,199,177.03,否
SO202503628,2025-11-24,11259,直播,女装,女装-021,1,269,232.79,否
SO202504398,2025-11-24,10736,推荐,男装,男装-019,2,189,330.79,否
SO202500228,2025-11-24,10100,搜索,女装,女装-003,3,189,533.13,否
SO202500153,2025-11-24,10716,搜索,男装,男装-007,2,129,225.63,否
SO202502996,2025-11-24,11667,推荐,美妆,美妆-003,3,119,330.19,否
SO202503155,2025-11-24,10455,直播,男装,男装-001,1,329,290.26,否
SO202504638,2025-11-24,10803,搜索,男装,男装-020,2,299,594.38,否
SO202504577,2025-11-24,11105,直播,数码,数码-008,1,1259,1138.06,否
SO202503312,2025-11-24,10618,搜索,美妆,美妆-017,2,359,610.6,否
SO202504990,2025-11-24,11540,推荐,女装,女装-021,1,269,260.24,否
SO202504700,2025-11-24,11102,推荐,男装,男装-006,2,199,342.88,否
SO202502586,2025-11-24,10361,直播,美妆,美妆-016,2,279,551.13,否
SO202504017,2025-11-25,10785,推荐,女装,女装-014,2,259,447.69,否
SO202503223,2025-11-25,11738,推荐,美妆,美妆-007,1,159,151.49,否
SO202502572,2025-11-25,10990,搜索,男装,男装-014,1,149,128.07,否
SO202501924,2025-11-25,10333,搜索,女装,女装-026,3,209,556.99,否
SO202503778,2025-11-25,10753,直播,女装,女装-003,1,189,169.83,否
SO202503717,2025-11-25,11057,搜索,美妆,美妆-001,2,129,220.34,否
SO202500302,2025-11-25,10859,直播,美妆,美妆-011,1,129,120.8,否
SO202501902,2025-11-25,10284,推荐,美妆,美妆-001,2,129,255.98,否
SO202504372,2025-11-25,11777,搜索,美妆,美妆-007,2,159,297.66,否
SO202501547,2025-11-25,10525,搜索,数码,数码-008,1,1259,1245.7,否
SO202500555,2025-11-25,11716,直播,女装,女装-032,3,309,904.86,否
SO202504925,2025-11-25,11910,直播,美妆,美妆-016,1,279,239.66,否
SO202503269,2025-11-25,10601,推荐,男装,男装-020,2,299,515.0,否
SO202500832,2025-11-25,10080,推荐,女装,女装-022,2,269,512.74,否
SO202500852,2025-11-25,11983,直播,女装,女装-017,1,149,126.98,否
SO202502134,2025-11-26,10367,直播,男装,男装-020,1,299,273.26,否
SO202501337,2025-11-26,11096,搜索,女装,女装-031,2,189,342.6,否
SO202502389,2025-11-26,11232,社群,女装,女装-001,2,169,333.72,否
SO202500341,2025-11-26,10664,直播,男装,男装-008,1,299,281.67,否
SO202501588,2025-11-26,10102,直播,女装,女装-032,2,309,614.27,否
SO202504468,2025-11-26,11323,搜索,女装,女装-001,2,169,326.38,否
SO202501092,2025-11-26,10405,搜索,女装,女装-022,2,269,509.1,否
SO202504484,2025-11-26,10217,推荐,女装,女装-031,1,189,175.87,否
SO202502773,2025-11-26,10402,直播,数码,数码-002,2,859,1460.61,否
SO202504261,2025-11-26,10976,直播,女装,女装-005,3,269,783.37,否
SO202504928,2025-11-26,10975,直播,美妆,美妆-007,1,159,156.11,否
SO202504193,2025-11-26,11480,推荐,男装,男装-018,2,159,290.66,否
SO202503554,2025-11-26,10264,搜索,美妆,美妆-010,1,389,360.41,是
SO202502153,2025-11-26,10753,搜索,数码,数码-010,1,2029,1970.81,否
SO202500142,2025-11-26,11773,搜索,家居,家居-005,3,59,155.36,否
SO202500451,2025-11-26,11020,直播,家居,家居-006,3,109,315.05,否
SO202504572,2025-11-26,10731,搜索,男装,男装-020,2,299,578.84,是
SO202500016,2025-11-26,10867,直播,女装,女装-033,2,289,516.1,否
SO202501726,2025-11-26,10163,推荐,女装,女装-025,1,159,158.09,否
SO202500071,2025-11-26,10267,搜索,男装,男装-006,2,199,377.23,否
SO202501320,2025-11-27,10736,搜索,男装,男装-019,2,189,357.04,否
SO202504735,2025-11-27,11199,直播,男装,男装-008,1,299,263.55,否
SO202502647,2025-11-27,10917,推荐,美妆,美妆-018,1,489,421.72,否
SO202504800,2025-11-27,11138,直播,女装,女装-032,3,309,920.16,否
SO202500637,2025-11-27,10007,推荐,数码,数码-007,2,1359,2438.21,否
SO202500047,2025-11-27,10348,推荐,女装,女装-021,1,269,245.06,否
SO202502283,2025-11-27,11421,直播,女装,女装-016,1,289,280.13,否
SO202500432,2025-11-27,11850,直播,美妆,美妆-014,1,239,232.07,否
SO202500772,2025-11-27,10012,直播,男装,男装-020,3,299,784.71,否
SO202503157,2025-11-27,10888,搜索,男装,男装-004,1,299,298.58,否
SO202500736,2025-11-27,11388,推荐,美妆,美妆-010,3,389,1138.2,否
SO202502362,2025-11-28,10324,推荐,男装,男装-014,2,149,277.01,否
SO202504708,2025-11-28,10201,推荐,女装,女装-001,2,169,316.66,否
SO202503471,2025-11-28,10845,直播,男装,男装-012,1,139,129.94,否
SO202500829,2025-11-28,10627,直播,男装,男装-006,2,199,355.77,否
SO202503854,2025-11-28,11658,社群,女装,女装-006,1,289,249.88,否
SO202500777,2025-11-28,10942,搜索,女装,女装-021,1,269,247.26,否
SO202500663,2025-11-28,10311,社群,女装,女装-003,2,189,323.51,否
SO202501625,2025-11-28,10355,搜索,女装,女装-032,3,309,866.12,是
SO202501862,2025-11-28,11121,直播,女装,女装-021,3,269,795.43,否
SO202502482,2025-11-28,10692,社群,家居,家居-006,1,109,97.36,否
SO202502125,2025-11-28,11092,直播,女装,女装-031,2,189,331.31,否
SO202501187,2025-11-28,11564,搜索,女装,女装-016,1,289,276.32,否
SO202504450,2025-11-28,11527,社群,美妆,美妆-016,1,279,256.59,否
SO202502791,2025-11-28,10439,搜索,女装,女装-014,1,259,228.11,否
SO202501191,2025-11-29,10627,直播,美妆,美妆-001,1,129,117.12,否
SO202503899,2025-11-29,10816,搜索,女装,女装-023,2,169,309.71,否
SO202501960,2025-11-29,11330,直播,女装,女装-014,1,259,226.19,否
SO202504478,2025-11-29,11234,直播,男装,男装-008,2,299,559.58,否
SO202500843,2025-11-29,10804,推荐,女装,女装-014,1,259,229.58,否
SO202502191,2025-11-29,11214,直播,女装,女装-032,1,309,277.47,否
SO202502476,2025-11-29,11388,直播,家居,家居-013,2,39,76.41,否
SO202500026,2025-11-29,11037,社群,美妆,美妆-003,3,119,318.28,否
SO202502886,2025-11-29,10405,推荐,美妆,美妆-001,2,129,241.67,否
SO202504130,2025-11-29,10132,社群,男装,男装-005,1,269,256.72,否
SO202504955,2025-11-30,10405,社群,美妆,美妆-015,1,199,174.8,否
SO202503731,2025-11-30,11147,推荐,美妆,美妆-001,3,129,340.89,否
SO202503726,2025-11-30,10076,直播,女装,女装-021,2,269,484.79,否
SO202502969,2025-11-30,11988,推荐,美妆,美妆-005,1,369,366.07,否
SO202503201,2025-11-30,11795,推荐,女装,女装-001,3,169,480.5,否
SO202500762,2025-11-30,11042,推荐,数码,数码-010,2,2029,3793.63,是
SO202502349,2025-11-30,11850,搜索,女装,女装-032,3,309,810.85,否
SO202504748,2025-11-30,11023,搜索,美妆,美妆-007,3,159,427.63,否
SO202500186,2025-11-30,10872,直播,男装,男装-014,1,149,146.48,否
SO202504010,2025-11-30,10336,直播,女装,女装-024,3,299,866.3,否
SO202503053,2025-11-30,11907,社群,家居,家居-005,2,59,117.48,否
SO202502574,2025-11-30,10837,直播,数码,数码-003,1,1699,1682.64,否
SO202503033,2025-11-30,11741,社群,女装,女装-005,2,269,462.95,否
SO202500724,2025-11-30,11122,直播,女装,女装-029,1,129,113.3,否
SO202504567,2025-12-01,11424,搜索,家居,家居-011,3,119,306.22,是
SO202504075,2025-12-01,10820,搜索,女装,女装-022,1,269,242.11,否
SO202500923,2025-12-01,10924,搜索,美妆,美妆-011,1,129,115.42,否
SO202501867,2025-12-01,10486,推荐,美妆,美妆-007,1,159,146.7,否
SO202500562,2025-12-01,11597,推荐,美妆,美妆-011,1,129,119.34,否
SO202502674,2025-12-01,11845,社群,美妆,美妆-010,1,389,349.22,否
SO202504668,2025-12-01,10578,直播,美妆,美妆-014,1,239,225.49,是
SO202502810,2025-12-01,11118,搜索,女装,女装-001,1,169,155.98,否
SO202503750,2025-12-01,10140,直播,女装,女装-001,2,169,317.71,否
SO202501814,2025-12-01,10579,推荐,女装,女装-011,1,159,143.53,否
SO202504825,2025-12-01,11906,推荐,家居,家居-005,1,59,53.87,否
SO202504749,2025-12-01,10878,直播,男装,男装-020,1,299,265.24,否
SO202501912,2025-12-01,10426,搜索,家居,家居-014,1,59,52.08,否
SO202501641,2025-12-01,11842,推荐,美妆,美妆-015,2,199,350.74,否
SO202504988,2025-12-01,10221,社群,家居,家居-009,1,199,170.08,否
SO202501811,2025-12-02,10397,直播,美妆,美妆-003,2,119,232.99,否
SO202502696,2025-12-02,10947,直播,美妆,美妆-011,1,129,115.11,否
SO202504409,2025-12-02,11608,直播,家居,家居-006,2,109,198.94,否
SO202501911,2025-12-02,11001,社群,男装,男装-005,1,269,251.5,否
SO202500144,2025-12-02,10532,搜索,美妆,美妆-017,1,359,307.6,否
SO202504447,2025-12-02,10102,搜索,男装,男装-025,1,169,148.25,否
SO202501677,2025-12-02,10759,搜索,男装,男装-006,1,199,180.76,否
SO202501428,2025-12-03,10759,推荐,女装,女装-005,2,269,493.41,否
SO202504491,2025-12-03,10808,社群,家居,家居-011,2,119,219.04,否
SO202501215,2025-12-03,10286,直播,数码,数码-008,1,1259,1258.9,否
SO202503655,2025-12-03,10007,社群,男装,男装-013,1,319,273.62,否
SO202502002,2025-12-03,10731,搜索,男装,男装-020,2,299,521.77,否
SO202504479,2025-12-03,11795,社群,男装,男装-015,1,149,136.1,否
SO202500928,2025-12-03,10601,搜索,男装,男装-006,2,199,347.63,否
SO202503496,2025-12-03,11213,直播,男装,男装-005,1,269,249.45,否
SO202504246,2025-12-03,11292,搜索,女装,女装-034,2,259,447.8,否
SO202501036,2025-12-03,11479,推荐,美妆,美妆-011,2,129,239.44,否
SO202503900,2025-12-03,11802,搜索,美妆,美妆-015,1,199,191.95,否
SO202503587,2025-12-03,11803,直播,男装,男装-025,1,169,168.29,否
SO202501516,2025-12-03,10114,推荐,男装,男装-014,2,149,253.56,否
SO202501442,2025-12-03,10099,直播,女装,女装-003,1,189,167.1,否
SO202501368,2025-12-04,11147,直播,家居,家居-004,1,59,51.5,否
SO202504157,2025-12-04,11857,社群,男装,男装-008,2,299,552.31,否
SO202501200,2025-12-04,10601,社群,美妆,美妆-017,2,359,610.6,否
SO202504448,2025-12-04,11330,搜索,美妆,美妆-017,1,359,317.14,否
SO202500069,2025-12-04,10529,直播,美妆,美妆-015,2,199,376.65,否
SO202501942,2025-12-04,10627,直播,美妆,美妆-015,1,199,192.0,否
SO202502947,2025-12-04,10439,搜索,家居,家居-006,1,109,98.77,否
SO202501585,2025-12-04,11093,搜索,美妆,美妆-010,1,389,345.47,否
SO202500212,2025-12-04,10207,直播,男装,男装-019,1,189,183.76,否
SO202503431,2025-12-04,11425,推荐,女装,女装-021,2,269,537.05,否
SO202503165,2025-12-04,10757,推荐,家居,家居-007,1,199,172.8,是
SO202504078,2025-12-04,11023,推荐,女装,女装-025,3,159,418.97,是
SO202501149,2025-12-05,11861,直播,女装,女装-034,3,259,760.74,否
SO202501717,2025-12-05,11213,推荐,家居,家居-011,2,119,203.84,否
SO202503138,2025-12-05,10981,直播,女装,女装-005,1,269,257.75,否
SO202503076,2025-12-05,10723,社群,男装,男装-014,2,149,268.16,否
SO202502262,2025-12-05,11269,搜索,男装,男装-024,2,109,212.25,否
SO202504187,2025-12-05,10827,直播,数码,数码-010,1,2029,1803.75,否
SO202503420,2025-12-05,11842,直播,美妆,美妆-001,1,129,113.67,否
SO202504063,2025-12-05,10539,社群,数码,数码-008,3,1259,3709.62,否
SO202502686,2025-12-05,11356,搜索,女装,女装-022,2,269,483.57,否
SO202500740,2025-12-05,10055,推荐,男装,男装-009,1,169,165.61,否
SO202504347,2025-12-05,10197,推荐,男装,男装-007,1,129,110.07,否
SO202501929,2025-12-05,11980,搜索,女装,女装-006,2,289,564.25,否
SO202504045,2025-12-06,10557,直播,数码,数码-008,2,1259,2143.88,否
SO202500462,2025-12-06,11221,搜索,男装,男装-025,3,169,447.27,否
SO202501656,2025-12-06,11907,直播,美妆,美妆-017,1,359,353.32,否
SO202504969,2025-12-06,10150,直播,美妆,美妆-017,2,359,614.02,否
SO202502347,2025-12-06,11153,搜索,女装,女装-027,1,149,126.68,否
SO202503673,2025-12-06,11788,搜索,数码,数码-003,1,1699,1489.7,否
SO202500269,2025-12-06,11203,直播,女装,女装-025,2,159,273.41,否
SO202500691,2025-12-06,11567,社群,女装,女装-021,3,269,744.86,否
SO202503147,2025-12-06,11503,搜索,女装,女装-005,1,269,237.66,否
SO202501383,2025-12-06,10795,直播,男装,男装-020,1,299,273.23,否
SO202501550,2025-12-06,11271,社群,美妆,美妆-001,2,129,256.15,否
SO202503557,2025-12-06,11223,直播,美妆,美妆-018,1,489,487.5,否
SO202501163,2025-12-06,11582,直播,女装,女装-022,1,269,262.44,否
SO202504388,2025-12-06,11408,搜索,家居,家居-001,3,39,105.46,否
SO202504192,2025-12-06,10405,推荐,美妆,美妆-014,2,239,427.84,否
SO202503594,2025-12-07,11076,直播,美妆,美妆-015,2,199,339.21,否
SO202504671,2025-12-07,10285,搜索,女装,女装-021,1,269,257.11,否
SO202500749,2025-12-07,10323,搜索,美妆,美妆-003,1,119,114.09,否
SO202503589,2025-12-07,10069,搜索,男装,男装-025,1,169,163.57,否
SO202502828,2025-12-07,10402,直播,家居,家居-002,2,129,223.41,否
SO202502966,2025-12-07,11505,推荐,女装,女装-034,3,259,682.48,否
SO202503872,2025-12-07,11981,推荐,男装,男装-012,2,139,259.74,否
SO202502837,2025-12-07,11330,搜索,男装,男装-006,3,199,590.81,否
SO202502278,2025-12-07,10107,推荐,男装,男装-006,1,199,181.3,否
SO202504065,2025-12-07,10007,直播,女装,女装-032,3,309,898.64,否
SO202500569,2025-12-07,11777,搜索,男装,男装-007,1,129,120.5,否
SO202501294,2025-12-07,10597,直播,男装,男装-001,1,329,284.41,否
SO202504911,2025-12-07,10323,搜索,女装,女装-031,3,189,566.56,否
SO202502350,2025-12-07,10076,直播,女装,女装-005,1,269,256.49,否
SO202504589,2025-12-07,10049,搜索,美妆,美妆-016,2,279,518.82,否
SO202503870,2025-12-07,11803,社群,美妆,美妆-002,1,369,325.46,否
SO202502750,2025-12-07,10076,直播,美妆,美妆-017,1,359,343.63,否
SO202503588,2025-12-08,10475,直播,家居,家居-011,2,119,216.6,否
SO202500012,2025-12-08,11012,社群,女装,女装-015,1,119,112.87,否
SO202500288,2025-12-08,11795,直播,男装,男装-006,1,199,183.32,否
SO202501254,2025-12-08,10250,推荐,女装,女装-027,3,149,421.22,否
SO202503823,2025-12-08,10080,直播,美妆,美妆-018,2,489,882.81,否
SO202503168,2025-12-08,10391,推荐,男装,男装-008,2,299,556.84,否
SO202502972,2025-12-08,11132,搜索,数码,数码-005,1,2639,2381.04,否
SO202504196,2025-12-08,10454,搜索,家居,家居-004,2,59,115.94,否
SO202504297,2025-12-08,11509,推荐,男装,男装-004,1,299,258.96,否
SO202500044,2025-12-09,11221,推荐,美妆,美妆-001,1,129,110.52,是
SO202502819,2025-12-09,10887,搜索,美妆,美妆-014,1,239,222.7,否
SO202501297,2025-12-09,10336,直播,家居,家居-007,1,199,180.94,否
SO202502803,2025-12-09,10402,直播,家居,家居-014,1,59,53.88,是
SO202503448,2025-12-09,10474,搜索,家居,家居-007,2,199,370.66,否
SO202502654,2025-12-09,11901,直播,美妆,美妆-003,1,119,106.27,否
SO202502084,2025-12-09,10187,直播,美妆,美妆-020,3,479,1390.91,否
SO202504051,2025-12-09,10336,推荐,美妆,美妆-014,2,239,407.4,否
SO202501486,2025-12-09,11499,社群,女装,女装-032,3,309,890.84,否
SO202502109,2025-12-09,11666,社群,美妆,美妆-003,1,119,105.99,否
SO202503136,2025-12-09,10723,搜索,男装,男装-008,2,299,528.25,否
SO202500177,2025-12-09,11347,社群,美妆,美妆-003,3,119,354.72,否
SO202504345,2025-12-09,11734,搜索,女装,女装-032,1,309,279.55,否
SO202500124,2025-12-10,11432,搜索,男装,男装-020,1,299,285.58,否
SO202503103,2025-12-10,10663,直播,女装,女装-034,2,259,495.46,否
SO202502004,2025-12-10,10489,社群,美妆,美妆-010,3,389,1048.36,否
SO202500458,2025-12-10,11432,社群,家居,家居-007,2,199,373.39,否
SO202501042,2025-12-10,11057,搜索,男装,男装-014,1,149,127.36,否
SO202503763,2025-12-10,11179,社群,数码,数码-002,3,859,2290.86,是
SO202501650,2025-12-10,11783,社群,数码,数码-010,1,2029,1882.54,否
SO202500168,2025-12-11,11426,搜索,美妆,美妆-011,2,129,249.75,否
SO202504437,2025-12-11,10757,直播,美妆,美妆-007,1,159,135.6,否
SO202502794,2025-12-11,11797,直播,美妆,美妆-011,2,129,221.06,否
SO202504275,2025-12-11,10450,直播,女装,女装-001,1,169,165.54,是
SO202502802,2025-12-11,10333,直播,女装,女装-001,2,169,312.48,否
SO202502864,2025-12-11,11650,社群,男装,男装-006,3,199,582.35,否
SO202502900,2025-12-11,10035,直播,女装,女装-014,3,259,694.89,否
SO202503912,2025-12-11,10309,社群,女装,女装-022,3,269,768.53,否
SO202504143,2025-12-11,10150,搜索,女装,女装-027,2,149,279.93,是
SO202500080,2025-12-11,10112,社群,美妆,美妆-001,1,129,111.76,否
SO202500787,2025-12-11,10838,直播,家居,家居-011,3,119,339.3,否
SO202503458,2025-12-11,10041,社群,美妆,美妆-003,1,119,113.03,否
SO202504147,2025-12-11,11388,社群,女装,女装-032,2,309,541.99,否
SO202502070,2025-12-12,11488,搜索,女装,女装-014,1,259,234.22,否
SO202504590,2025-12-12,11698,社群,男装,男装-008,1,299,289.25,否
SO202502044,2025-12-12,11076,直播,男装,男装-013,1,319,310.53,否
SO202503891,2025-12-12,10856,直播,美妆,美妆-011,1,129,115.48,否
SO202501698,2025-12-12,10005,搜索,美妆,美妆-018,3,489,1432.21,是
SO202501278,2025-12-12,10439,推荐,男装,男装-022,1,229,227.03,否
SO202500022,2025-12-12,11472,社群,美妆,美妆-018,1,489,482.8,否
SO202504611,2025-12-12,11625,社群,男装,男装-020,1,299,263.28,否
SO202500108,2025-12-12,10366,搜索,美妆,美妆-016,1,279,263.79,否
SO202504819,2025-12-12,11344,搜索,女装,女装-003,2,189,338.5,否
SO202500944,2025-12-12,11212,推荐,女装,女装-005,2,269,478.98,否
SO202501947,2025-12-12,10196,搜索,男装,男装-019,3,189,523.14,否
SO202502593,2025-12-12,10941,搜索,家居,家居-006,1,109,104.39,否
SO202502975,2025-12-12,10697,直播,美妆,美妆-001,3,129,340.18,否
SO202501768,2025-12-12,11622,推荐,女装,女装-021,2,269,465.41,否
SO202501160,2025-12-12,10112,搜索,家居,家居-002,2,129,240.17,否
SO202502615,2025-12-12,11584,搜索,美妆,美妆-011,2,129,231.94,否
SO202504734,2025-12-12,10969,推荐,家居,家居-010,3,179,481.56,否
SO202503264,2025-12-12,11432,社群,男装,男装-005,2,269,524.3,否
SO202504278,2025-12-12,10335,直播,女装,女装-011,1,159,137.54,否
SO202503614,2025-12-12,11491,直播,美妆,美妆-018,1,489,425.9,否
SO202500245,2025-12-12,10211,推荐,家居,家居-005,1,59,56.86,否
SO202500253,2025-12-12,10007,搜索,女装,女装-032,1,309,284.9,否
SO202504036,2025-12-12,11012,搜索,男装,男装-019,1,189,180.93,否
SO202501063,2025-12-12,11533,搜索,数码,数码-010,3,2029,5862.93,是
SO202504554,2025-12-12,10621,搜索,男装,男装-009,3,169,494.55,否
SO202502525,2025-12-12,11232,直播,男装,男装-019,1,189,169.53,否
SO202502701,2025-12-12,10942,推荐,女装,女装-021,2,269,492.59,否
SO202502653,2025-12-12,11740,直播,女装,女装-001,1,169,161.74,否
SO202500793,2025-12-12,11392,推荐,男装,男装-015,1,149,141.91,否
SO202502151,2025-12-12,11042,社群,美妆,美妆-007,3,159,433.63,否
SO202503526,2025-12-12,10828,推荐,家居,家居-007,1,199,185.2,否
SO202503621,2025-12-13,11796,直播,男装,男装-004,1,299,264.21,否
SO202503061,2025-12-13,10631,直播,美妆,美妆-005,1,369,323.56,否
SO202501041,2025-12-13,11400,社群,美妆,美妆-018,3,489,1359.27,否
SO202503907,2025-12-13,10112,搜索,男装,男装-018,2,159,304.63,是
SO202501448,2025-12-13,11401,直播,家居,家居-011,1,119,118.92,否
SO202500328,2025-12-13,10065,推荐,女装,女装-001,2,169,317.82,否
SO202501435,2025-12-13,10026,推荐,美妆,美妆-016,2,279,540.29,否
SO202502875,2025-12-13,11003,直播,家居,家居-004,1,59,53.22,否
SO202500317,2025-12-13,10675,推荐,女装,女装-021,2,269,526.01,是
SO202504976,2025-12-13,10084,社群,女装,女装-027,2,149,276.32,否
SO202500526,2025-12-13,11608,搜索,男装,男装-025,1,169,159.05,否
SO202503558,2025-12-13,11584,搜索,家居,家居-004,2,59,109.81,否
SO202504846,2025-12-13,11633,直播,美妆,美妆-001,3,129,346.22,否
SO202504853,2025-12-13,10286,直播,家居,家居-010,1,179,165.36,否
SO202501390,2025-12-13,10405,直播,女装,女装-025,1,159,148.69,否
SO202504641,2025-12-13,11330,搜索,女装,女装-031,1,189,188.4,否
SO202502747,2025-12-13,11966,社群,女装,女装-014,1,259,235.1,否
SO202500479,2025-12-14,11798,搜索,男装,男装-015,3,149,436.83,否
SO202502723,2025-12-14,11438,直播,女装,女装-032,1,309,263.13,否
SO202503237,2025-12-14,11650,直播,女装,女装-022,1,269,237.22,否
SO202501511,2025-12-14,10356,推荐,女装,女装-021,3,269,770.2,否
SO202504327,2025-12-14,10795,直播,男装,男装-008,1,299,298.54,否
SO202501736,2025-12-14,11533,直播,数码,数码-001,2,2439,4489.17,否
SO202500206,2025-12-14,11397,直播,家居,家居-006,1,109,96.71,否
SO202501397,2025-12-14,10842,搜索,男装,男装-004,1,299,256.52,否
SO202502556,2025-12-14,10759,搜索,美妆,美妆-016,3,279,799.85,否
SO202503199,2025-12-14,10723,搜索,女装,女装-035,3,289,855.04,是
SO202504881,2025-12-14,10845,直播,女装,女装-030,3,109,313.69,否
SO202503454,2025-12-14,11505,搜索,数码,数码-002,2,859,1700.03,否
SO202503989,2025-12-14,11302,推荐,美妆,美妆-016,2,279,508.69,否
SO202500804,2025-12-14,10603,直播,美妆,美妆-001,2,129,232.07,否
SO202500008,2025-12-14,10887,搜索,美妆,美妆-017,3,359,960.19,否
SO202503970,2025-12-14,11912,直播,美妆,美妆-007,3,159,456.09,否
SO202502973,2025-12-14,10976,搜索,男装,男装-014,3,149,421.85,否
SO202500847,2025-12-14,11618,直播,数码,数码-008,2,1259,2265.14,是
SO202500942,2025-12-14,10164,社群,数码,数码-007,1,1359,1231.54,否
SO202504032,2025-12-14,11910,直播,美妆,美妆-001,1,129,122.51,否
SO202500013,2025-12-15,11694,社群,女装,女装-011,3,159,461.87,否
SO202502649,2025-12-15,10209,推荐,美妆,美妆-014,3,239,692.64,否
